蒜头,江苏/河南/山东,6,箱,22-10-16
菜心,宁夏/甘肃/广东,4.85,箱,22-10-16
矮脚白菜,云南/宁夏,4.65,箱,22-10-16
小白菜,广东/云南,4.5,箱,22-10-16
小塘白菜,云南/宁夏,3.4,箱,22-10-16
包心芥菜,云南/宁夏,3.1,箱,22-10-16
春菜,云南,3.05,箱,22-10-16
生菜,云南,3.9,箱,22-10-16
西生菜,云南,5.2,箱,22-10-16
菠菜,云南/兰州,8.3,箱,22-10-16
油麦菜,云南,3.4,箱,22-10-16
绍菜,云南/兰州/河北/湖北/甘肃/宁夏,2.68,箱,22-10-16
西红柿,宁夏/甘肃/云南/山东/新疆/内蒙古,4.58,箱,22-10-16
芥兰,甘肃/宁夏,4.7,箱,22-10-16
娃娃菜,兰州/云南/天津,4.75,箱,22-10-16
胡萝卜,内蒙古/河北,2.31,箱,22-10-16
白萝卜,陕西/河北,1.69,箱,22-10-16
椰菜花,云南/兰州/河北/甘肃,4.7,箱,22-10-16
西兰花,云南/河北/兰州/宁夏,5.2,箱,22-10-16
水空心菜,广东广州,3.3,箱,22-10-16
