宏巨防静电地板,"产品材质： 全钢防静电地板上层为冷轧钢板，下层采用采用优质抗拉钢板冲压成型，外面磷化后进行喷塑（优质的塑粉）处理，两层经过冲压形成钢壳，钢壳内填充发泡水泥；上表面粘贴高耐磨防静电贴面三聚氢胺贴面（HPL）或者防静电PVC贴面，四周镶嵌导电边条。  系统组成： 高架防静电地板系统由地板，横梁，支架组成。横梁和自身高度可调的支架地板用螺丝连接成稳固的下部支撑结构，地板镶嵌如横梁围构的四方袼内。 产品特点： 1、全钢组合，科学力学结构，强度高，承载力强。  2、表面静电喷塑处理，耐蚀性能佳，防火，防尘，防静电。  3、地板可任意切割，安装附件方便，优化机房布线设计。  4、活动地板铺设高度可以任意选择，四周固定，安装方便。 5、下部空间可作为空调通风，网络走线之用。 适用场所： 计算机机房、程控机房、卫星及飞船反射指控中心、监控指挥中心、控制器、电化教室、电子阅览室、有防尘、防静电及需要架空的场合。 型 号 规格    MM 集中载荷 极限    载荷    N 均布    载荷    N/M 滚动载荷N 备 注 Inter-    national 国标 LB N KG 10 次 10000 次 HH450 HDG600.30.CQD 600x600x30 ≥440 ≥1960 ≥200 ≥5880 ≥9720 1958 1566 1X10 —1X10 Ω ( 系统电阻）     HPL/PVC 贴面        板面高度    35-300MM   HDG600.35.CQD 600x600x35 HH650 HDG600.30.QD 600x600x30 ≥662 ≥2950 ≥301 ≥850 0 ≥12500 2946 2356 HDG600.35.QD 600x600x35 HH800 HDG600.35.QD 600x600x35 ≥800 ≥3550 ≥363 ≥11250 ≥16100 3560 2670 HH1000 HDG600.35.BD 600x600x35 ≥1000 ≥4450 ≥453 ≥13350 ≥23000 4450 3560 HH1250 HDG600.35.ZD 600x600x35 ≥1250 ≥5560 ≥567 ≥16680 ≥33000 5560 4450 备注：    地板配件比例：支架每平米*3.2只 横梁每平米*5.2根 螺丝每平米*10.4只。地板承重及支架高度可定制。 1.活动地板铺设高度可以任意选择。 2.支架承载能力不低于20KN,并与各型号活动地板匹配。 材质备注： 1 . 地板底板材料:采用（宝钢）冷轧ST14深冲板、地板上板材料采用（宝钢）轧硬板SPCC-SD。 2.地板面层:HPL贴面、PVC贴面,另有：地毯面、陶瓷面、塑胶材料面层、木纹面等。"
远川全钢防静电地板,■ 地板组成: ■ 系统组装: ■ 产品特点: 产品技术参数 HDG600 型防静电地板 / 通风板技术参数 型号 规格（ mm ） 集中荷载 挠度 =2mm 极限荷载 均布荷载      （ N/ ㎡） LB N Kg LB N Kg YC-800 HDG6035.Q 600*600*35 800 3560 360 2398 10670 1090 18140 YC-1000 HDG6035.B 600*600*35 1000 4450 450 3000 13350 1360 23000 YC-1250 HDG6035.Z 600*600*35 1250 5560 560 3750 16680 1700 33000 YC-1500 HDG6035.CZ 600*600*35 1500 6670 680 5100 22680 2310 44900
陶瓷高架活动地板,【 概述】  全钢陶瓷防静电地板采用上海宝钢优质合金冷轧钢板，经拉伸后点焊成形。在瓷质面层的生产过程中，均匀注入防静电添加剂，由于面层的耐磨性，防静电性能可以保持60年以上。而且系统电阻稳定、经信息产业部防静电协会检测，各项性能均达到要求。   【 系统组装】  全钢陶瓷防静电地板系统有地板、横梁、支座组成。横梁和自身高度可调的支座用螺钉连结成稳固的下部支承系统，地板镶嵌入横梁围成的方格内。   【 特点】  全钢陶瓷防静电地板由全钢组成，机械强度高、承载能力强、防火性能好。 表面静电喷塑，柔光、耐磨、防腐蚀、不开裂。 粘贴的装饰是防静电陶瓷，耐磨性及防静电性能优良、抗污染、便于清洗、装饰性强，防火性好。主要优势：布线量大，互换性好、维修方便、经久耐用。 【 应用范围】  ◆智能化高档办公楼、5A智能建筑，完全满足高频率的使用情况并便于清理。   ◆银行、邮电、石油、电力部门的高档程控机房、计算机房。   ◆微电子生产安装车间及管线铺设较集中，有防尘、防静电要求的地方。 产品技术参数：
全钢（无边）防静电地板,无边防静电地板：四周没有边条，安装美观大方。适用在载重要求和防静电要求较高的场所，如有大型服务器和机柜的主机房。大、中、小型的计算机机房，程控机房、卫星及飞船反射指控中心、监控指挥中心、控制器、电化教室、电子阅览室、各种电气控制机房、邮电枢纽和用计算机控制的军事、经济、国家安全、航空、航天及交通指挥调度和信息管理中心等防尘、防静电及需要架空的场合。 无边全钢防静电活动地板采用优质合金冷轧钢板（宝钢钢材），经拉伸后点焊成形。外表经磷化后进行静电喷塑处理，内腔填充标准纯水泥，上表面粘贴高耐磨防火高压层（hpl）或（pvc）贴面。全钢防静电地板是在冲压成形并焊接的金属壳中浇注水泥，保证了地板的高强度和耐冲击性能。此外，全钢地板科学的力学结构使它的承载能力比同等规格的其他地板高30%。 全钢地板适用在载重要求和防静电要求较高的场所，如有大型服务器和机柜的主机房。大、中、小型的计算机机房，程控机房、卫星及飞船反射指控中心、监控指挥中心、控制器、电化教室、电子阅览室、各种电气控制机房、邮电枢纽和用计算机控制的军事、经济、国家安全、航空、航天及交通指挥调度和信息管理中心等防尘、防静电及需要架空的场合。 表层贴面：进口高耐磨三聚氢氨防火板（hpl）或 pvc 贴面 下层：静电喷塑 底面：采用st14拉伸板 表面：选用spcc1d硬质钢板（宝钢钢材） 中间：填充发泡水泥。   1、全钢结构，强度高、承载能力强、耐冲击性能好； 2、表面静电喷塑，柔光、耐磨、防水、防火、防尘、防腐蚀； 3、粘贴的装饰高压层板，耐磨性及防静电性能优良、抗污染、便于清洗、装饰性强； 4、组装灵活、维修方便、使用寿命长； 5、地板可任意切割，安装附件方便； 6、四边固定，安装方便； 7、下部空间可作为空调通风用； 8、对超重设备而言，只要在地板下增加支架，即能解决承载问题； 9、拆装方便，只要更换装饰贴面，就能重复使用； 10、安装地插座时必须根据地插座的规格进行开孔。   全钢（无边）防静电地板 产品技术参数 HDG600 型防静电地板 / 通风板技术参数 型号 规格（ mm ） 集中荷载 挠度 =2mm 极限荷载 均布荷载       （ N/ ㎡） LB N Kg LB N Kg YC-800 HDG6035.Q 600*600*35 800 3560 360 2398 10670 1090 18140 YC-1000 HDG6035.B 600*600*35 1000 4450 450 3000 13350 1360 23000 YC-1250 HDG6035.Z 600*600*35 1250 5560 560 3750 16680 1700 33000 YC-1500 HDG6035.CZ 600*600*35 1500 6670 680 5100 22680 2310 44900
全钢（微边）防静电地板,【微边防静电地板】基本说明 	全钢外壳结构，优质水泥填充，HPL或PVC，陶瓷贴面，底面采用ST14拉伸板，表面选用SPCC硬质钢材，地板四周采用“F”型边条镶嵌在贴面和钢板之间，边条压制牢固不易脱落，支座使用钢板压成型，丝杆高度可任意调节，横梁选用方管制作。  【微边防静电地板】产品特点 	新型微边防静电地板公开了一种全钢微边防静电地板，包括地板本体，所述的本体表面设置有贴面，所述的贴面四周边缘设置有镶嵌在折边结构里的界面为F型的导电封边条，新型克服了老式防静电地板边条界面高于贴面而带来的平整度较差的不足，实现防静电功能的同时，板面平整度整整提高了五倍以上，非常实用。 【微边防静电地板】适用范围 	全钢微边防静电地板铺装后接缝极细广泛用于程控机房、计算机房、控制室、实验室、电教室、微电子生产安装车间及管线铺设较集中，有防静电要求的地方，还可以用于智能化办公楼、银行、邮电、电力调度等场所。 产品技术参数 HDG600 型防静电地板 / 通风板技术参数 型号 规格（ mm ） 集中荷载 挠度 =2mm 极限荷载 均布荷载      （ N/ ㎡） LB N Kg LB N Kg YC-800 HDG6035.Q 600*600*35 800 3560 360 2398 10670 1090 18140 YC-1000 HDG6035.B 600*600*35 1000 4450 450 3000 13350 1360 23000 YC-1250 HDG6035.Z 600*600*35 1250 5560 560 3750 16680 1700 33000 YC-1500 HDG6035.CZ 600*600*35 1500 6670 680 5100 22680 2310 44900
硫酸钙地板,硫酸钙防静电地板 产品介绍： “远川”牌硫酸钙防静电地板采用硫酸钙为基材，地板上面用防火板HPL/PVC/陶瓷地板等装饰面层，下面用镀锌板或压花铝合金粘合，四周用PVC导静电封边，地板不易受潮，不易变形，耐燃烧时间更长，使用寿命长，安装好的地板下面形成通路，方便下面地板走线，线路检修。地板无需除油磷化喷塑，平整度好、边不反翘，环保、强度大，密封性及稳定性好。 硫酸钙防静电地板 1、强度高、平整、防火不燃A级，水浸泡不变形。 2、用ABS树脂材料包边，防静电性能优良。 3、装饰面层根据用户的喜好和应用可以个性化定制。 4、底板一般为镀锌钢板、保护板芯、增加承重。 5、可随意搬移、互换、完全符合经济效益。 硫酸钙防静电地板产品应用： 适用于各种 5A 级智能化楼宇、5A级写字楼、各类机房及有架空要求、网络综合布线的场所，更适合于旧办公楼综合布线的地面改造。 硫酸钙防静电地板 				型号 				规格（mm） 				集中荷载 挠度=2mm 集中荷载 				均布荷载（N/㎡） Ib 				N 				Kg 				Ib 				N 				Kg 标准 				标准 FS1000 				B 				600*600*30 				1000 				4450 				450 				4450 				13350 				1360 				23000 				FS1250 				Z 				600*600*30 				1250 				5560 				560 				3750 				16680 				1700 				33000 				FS1500 				CZ 				600*600*32 				1500 				6670 				680 				5100 				22680 				2310 				449
复合防静电地板,【规格型号】 ◆ HDM 600×600×40mm  【产品材质】 ◆  基板板芯采用、未经加工的中高密度刨花板基，上面粘贴HPL(防火板)、PVC、陶瓷、等不同装饰面层，下面粘贴镀锌钢板/铝板/铝箔，四周导静电黑胶条封边，阻止机械损坏及潮湿变形。通过阻燃剂的添加，使其达到B1级防火，且具有较轻的自重，达到更高的承载能力和环保水平，标配出口型加重配件。 【功能特点】 ◆ 美观大方、经久耐用、脚感好，可与进口地板媲美，防静电、电磁屏蔽、防水、防火、机械强度高。 【应用范围】 ◆  广泛应用于电子计算机房、卫星地面站机房，电台控制室，发射台控制室，微波通信站机房，程控电话交换机房，洁净厂房，电子仪器厂装配车间，机密光学仪器制造车间，医院，学校等有防静电要求的场合。 产品名称 				欧式复合地板—加强型 				欧式复合地板—普通型 				规格（mm） 600*600*40 				600*600*30 面板重量 7.5~12KG 				7.5~12KG 集中荷载(KG) 				360 				200 均布荷载(N/M ) 				9800 				5400 防火性能 				阻燃B1级 				系统电阻（Ω） 				导电型R<10 ；静电耗散型：10 ~10 Ω
铝合金防静电地板,"【 规格型号 】 ◆ HDL 600×600×50/55mm  【产品概述】 铝合金防静电地板（含铝合金通风板），完全以铝合金一次负压铸造而成，融合了铝合金耐腐蚀、高强度的特性。具有尺寸精度高、导电性能好、防火性能好、防磁、不易变形等特点。性能极其稳定，为防静电地板中最高档的产品。 铝合金防静电地板是铝合金材料经熔炼铸造，经机械加工而成，因而尺寸精度高。 铝合金地板板基不会因水浸受潮而变形，不腐蚀，因而使用寿命长。铝合金属难燃非燃的金属物质，故防火性能好。表面粘贴高耐磨三聚氰胺防静电贴面或PVC导电地砖，铝合金地板板基有很高的回收价值及翻新再重用价值。主要用在要求极高的工作场所，平板的格状结构能够有效地分散机械设备的重量，每块平板的尺寸精确，方便调换且经久耐用，能满足半导体洁净室和其它生产场所的承重需求。 有多种型号可供选择，该通风地板有1024或1280个倒角孔，1024孔提供了18.09%～27.02%的通风率，1280孔提供了22.61%～33.77%的通风率。符合微机房和洁净室的通风要求。该通风板可以和其它地板互换。 优 点： 特点： A.铝合金铸造，强度高、阻燃、变形小、防腐蚀、防磁、表面粘有抗静电贴面，美观、行走舒适，抗静电性能永不衰减。 B.安装方便，易于拆装改装,地板高度可任意选择和调节 【 】 铝合金防静电地板广泛适用于军事指挥、航天中心、大型金融数据处理中心及超洁净厂房等要求极其严格的场所。"
防静电瓷砖,"【 防静电地板 瓷砖概述】 防静电 陶 瓷砖具有永久性防静电和 高档艺术装饰效果的一种功能性陶瓷砖，是防静电地面材料多样化的一次重大进步，为防静电行业和陶瓷业注入了新的活力，填补了国内空白，经专家鉴定为处于国际领先水平。  防静电陶瓷砖是一种新型防静电材料，克服当前使用的，如环氧和三聚氰氨、PVC防静电涂料、地板、防静电橡胶板等高分子材料易老化、不耐磨、易污染、耐久性和防火欠佳的问题。克服以上防静电材料缺点，兼容了陶瓷地砖优点，具有美观耐用、防火、防滑、抗压、耐磨、耐腐蚀、防污、防水防渗透、放辐射性低、环保卫生易于施工，是一种永久性防静电，具有高档艺术装饰效果的一种功能性陶瓷砖。  主要应用于医院手术室、能源、国防、航天、航空、电子、石油化工信息等及民用生活领域。是目前最理想的防静电与装饰兼容的材料。具有开发前途的一种新型防静电新产品是墙地砖产业的一次创新，并将推动防静电产业，沿着节约能源，走循环经济，环保生产产品的发展有重要的现实意义和深远意义。 【 防静电地板 瓷砖功能】 防静电性   ◆防静电陶瓷砖电性能检测值比对表（实测）  ◆标准技术指标 表面电阻1×105～1×109Ω 体积电阻1×106～1×109Ωcm  ◆国家建陶质检中心 1.3×108Ω 9×106Ωcm  ◆兵器工业静电检测中心 1.3×107Ω 2.3×107Ωcm  ◆信息部静电质检中心 2×108Ω 9×106Ωcm  放射性   ◆根据实物检测和生产实际控制，IRa≤0.6，Ir≤1.0，严于国家规定与环保产品规定A类要求。实测为IRo=0.15，Ir=0.52，国家标准与环保产品规定分别是IRo≤1.0，Ir≤1.3，IRo≤0.9，Ir≤1.2。  铅镉含量   ◆国家环保认证产品规定可溶性铅含量不大于20mg/kg，  ◆可溶性镉含量不大于5mg/kg。  ◆实际检测产品可溶性铅含量0.58mg/kg,镉含量0.03mg/kg。   【 防静电地板 瓷砖优势】   一、不受环境影响，通体都具有永久、稳定的防静电性能，体电阻和面电阻均小于5×108Ω。  二、耐热性能优良，耐高温达1200℃导电性不变。  三、耐磨、耐腐蚀、耐酸碱、耐油污、阻燃性、防渗透是其它材料无法比拟的。  四、陶瓷质地，永不老化。  五、无毒、无味、无辐射、是绿色环保产品。  六、花色品种可以任意选择。  七、发尘量小，与嵌缝剂配合使用可满足较高级别的洁静环境要求。  八、施工方便，适合在各种新老建筑物中采用。  防静电陶瓷砖的研发成功彻底解决里困扰世界的难题，以其稳定的防静电性能和优良的品质必将规范整个防静电市场。为人类的生产、生活提供保障。 【 防静电地板 瓷砖特点】   防静电陶瓷砖已通过信息产业部防静电检测中心、兵器部静电检测中心、总装备部通用装备保障部静电计量测试站、国家建筑材料监督检验测试中心检测，各项指标均符合国家要求。能减排指的是减少能源浪费和降低废气排放，实现经济增长和环境保护的双赢。  与其他地面材料比较：  防静电PVC板：易老化、易划伤、抗污能力差、防火性能差、不耐磨、抗压性能差、易变形、抗静电年限短、对施工地面要求高，聚氯乙烯材料燃烧会释放剧毒气体——氯气，且不能分解，造成环境污染。  聚氨脂、环氧自流平：施工复杂、造价高、抗压性能差、易变形开裂隆起、防火性差、使用年限短、高温会产生刺鼻气味.胶粘性、难分解污染环境。  防静电橡胶板：易老化、不耐磨、抗压性能差、易变形、防火性差、使用年限短、橡胶材料会产生气味且具有胶粘性。  防静电水磨石：施工工期很长(约在45天到60天，浪费财力、时间)、易起尘、易吸潮、放射性高、装修效果差。  防静电瓷砖：具有不老化、抗磨、抗压、不开裂、不变形、无毒无味、耐高温、防火性能强、发尘量小、使用年限长、防静电性能永久、可回收利用、无环境污染、对地面要求低、易于施工、施工工期短、装饰效果强等优点。  所以防静电瓷砖是目前最理想的防静电与装饰兼容的材料。符合国家节能减排的产业政策，具有开发前途的一种新型防静电产品。是墙地砖产业的一次创新，并将推动防静电产业，沿着节约能源，走循环经济，环保生产的发展有重要的现实意义和深远意义。 【 防静电地板 瓷砖应用范围】   石油、化工、纺织、油漆、兵器、易燃易爆车间、医院手术室、麻醉室、氧吧等。  对防尘、防火、防酸碱腐蚀等有要求的地面、墙面和天花板  大规模、超大规模集成电路生产洁净车间。  各类通信机房（程控电话、移动电通信、微波通信、卫星地面站机房）。  电脑机房、通信设备生产车间、精密仪器车间、感光化学车间。  电路调度中心、地铁控制中心、交通控制中心，公路管理中心、公安消防报警指挥中心。  广播电视发射中心、各类信息中心、工业控制中心、机场空中管制中心、口岸航运管理中心、  气象卫星中心、新闻出版中心。  进行深加工可制成活动地板，工作台板等防静电板材。 【 防静电地板 瓷砖技术指标】     一、防静电性能   表面电阻：            1～10兆欧（6次方）  系统电阻：            1～10兆欧（6次方）   二、施工参数   平 整 度：           中心上凸≤0.5mm   尺    寸：            600*600  边    长：            599.60～600.00mm   对角线偏差：          ≤0.5 mm   厚    度：            9.5～10.5mm    三、物化性能   耐火等级：           A级   吸 水 率：            ≤0.3％   表面硬度：           ≥7   耐 磨 性：           ＜0.05g/1000转   断裂模数：           平均值≥37Mpa，单个值≥35Mpa   破坏强度：           平均值≥1800N   抗热震性：            经10次抗热震性试验不出现炸裂或裂纹   耐化学腐蚀性：     耐低浓度酸或碱不低于GLB级；耐家用化学品不低于GB级   耐 污 染：              不低于4级  国内外防静电地面材料技术性能比较   产品名称   主要应用范围   优点   缺点   电性能(兆欧) 防火性   抗静电年限   防静电PVC板   电子仪器生产车间、洁净车间、集成电路生产厂房   不发尘、施工简单   易老化、易划伤、抗污能力差、不耐磨、对施工地面要求高   1 ～1000 B 级   3 年以上   聚氨脂及环氧自流平地面   电子仪器生产车间、洁净厂房、医院手术室   不发尘   施工复杂、造价高   1 ～1000 B 级   5 年以上   防静电橡胶板   电子仪器生产车间、集成电路生产车间、交换设备生产车间   施工简单、不发尘   易老化、不耐磨   10 ～100 B 级   5 年以上   防静电水磨石   火工、石油、飞机修理厂、跑道、制药厂   施工简单、造价低   易起尘、易吸潮、装修效果差   1 ～100 A 级   5 年以上   防静电抛光砖   电子仪器生产车间、洁净车间、大规模集成电路生产车间、上走线设备的电信机房   不发尘、耐磨、耐腐、抗污能力强、防火性好   防静电性能差   1000 ～10000 A 级   10 年以上   防静电瓷砖 电子仪器生产车间、洁净车间、大规模集成电路生产车间、上走线设备的电信机房   防静电性能优异，不发尘、耐磨、耐腐、抗污能力强、防火性好   款式少   10 ～30 A 级   20 年以上   注：IEC1340-4-1规定，1～1000兆欧的材料为静电耗散材料"
机房彩钢板,【 机房墙板规格型号】 机房墙板单块宽度1200mm，标准板高度分别可以做到2400mm--3000mm（每增加100mm为一个规格）。超过3000mm可根据实际情况定制。 【机房墙板产品介绍】 机房墙板是针对数据中心、计算机机房、服务器机房、网络机房、电子机房、交换机机房、航天设备机房等需要，为各种机房专门设计生产的机房墙板，在设计时对机房的综合布线要求、防尘要求、保温要求、屏蔽要求、质量要求、安全要求、改建要求、长期使用要求、便捷性要求、美观时尚要求、一体化要求、防静电防火防霉要求以及机房墙板对用户身体健康等相关技术的规范和条件等都做了充分考虑。 另外为各种机房专门制造的金属面夹芯墙板或钢面墙板或金属墙板也叫做机房墙板。机房墙板具有防火、防积尘、防静电、防潮湿、隔音降噪、防霉、抗震、抗磁干扰、抗冲击、抗氧化、耐酸碱腐蚀、不易脱色、无色差、美观大方、明亮时尚、安装清洁方便、易保养、不冷缩、不热涨、不易变形、可以重复利用、具备环保节能等强大的实用功能。 【机房墙板功能特点】 1 、原材采用具抗氧化性的热溶镀锌钢板与品牌石膏板相结合，耐火能力及燃点远远超过其他同类产品。 2 、面板独有 V 型边设计，实现相邻板间完美连接。 3 、可防潮、防霉、防火、耐酸碱、防静电。具抗氧化性，不易生锈。 4、表面漆膜无色差，光滑，不聚尘，易保养 5、施工迅速，缩短工期，拆卸方便，可重复使用。 6、广泛应用于计算机中心机房、监控室、控制室及洁净化厂房。 【机房墙板产品优点】 1、屏蔽墙板能更好的隔离噪音，金属面夹心板隔音率可达48dB，隔音效果更明显，为不可多得的机房隔音材料； 2、机房墙板的抗震压性能好，经建筑综合实验所抗冲击实验严格测试后，测得产品抗冲击值为180kgf/㎡； 3、机房墙板在工厂剪裁、现场安装方便快捷，有效地避免了对环境造成损害，在维修保护水电线路、空调管线、电源插座、电话接线等方面，隔音可拆墙板起到了方便快捷、安全可靠的作用； 4、机房墙板的防静电性能强，防静电墙板表面抵的抗值为10的5~8次方欧姆，使得电荷衰减时间在1秒以下，确保了防静电墙板防静电性能，提供了用户安全可靠的使用屏障；另外，双大机房墙板属于轻质隔墙类型，建筑载荷小而且坚固、满足现代建筑装饰要求。 5、机房金属墙板墙体内设夹层可配管、配线，综合造价合理。并且机房专用墙板的墙体厚薄可自由选择，增加建筑使用面积；而且隔音可拆墙板具有空间划分灵活、可重复使用的特点，便于用户日后的维修、更换、改建等工程的实施，使用户节约成本；机房墙板具有环保、节约资源、高效的特点，并且较小的影响用户的工作和生活。施工完成后，机房美观、清洁、舒适，现场完工即可迁入，不污染环境。 【机房墙板 产品标准 】 * 导电系数表面抵抗值105-8电荷减弱1秒以下 * 隔音性能组合成双面墙可达45dB * 质量保证符合企业标准Q/320583 FQKS 003-2009 * 防火性能符合国家防火GB8624-1997《建筑材料燃烧性能分析方法》 * 符合国家防火GB/T8625-2005《建筑材料难燃烧性实验方法》 * 符合国家防火GB/T8627-1999《建筑材料燃烧或分解的烟密度实验方法》 【机房墙板技术要求】 1、按照GB8624-2006判定达到A1（不燃性）级；满足GB50174-2008《电子信息系统机房设计规范》中对电子计算机机房墙面材料的要求。 2、表面材：具备良好的抗氧化性能和焊接性能。 3、涂装工艺：采用全自动高压静电超高速旋转雾状喷涂技术，涂装前进行脱脂、磷化处理；涂层均匀、附着力强。   机房墙板在安装过程中应注意以下几点： 1．机房墙板在安装过程中，均应使用专用工具，施工人员应在施工前检查工具是否完备齐全，具体需要检查的内容工作是主材料和配件是否齐全不缺并且是否完好可使用，对专用测量工具应定制并且经检制定好，如果未达到使用要求则应及时更换和维修。    2．在安装之前，应先明确施工范围，并且检查现场条件是否符合设计施工图中的墙体安装要求，以及防火防尘静电屏蔽技术等是否符合使用条件和相关规定，需要参照的以下几个方面：  （1）墙面、作业面与轴线之间的距离；  （2）对照参考面找出控制点的间距与位置，注意通视性；  （3）对照参考面找出安装角的间距；  （4）与控制标高之间的水平差；  （5）与建筑物竖向的间距及与各楼层的间距。  
